,description,charge
1733,CLOTRIMAZOLE VAG CR 1% 45G,46
1734,CLOTRIMAZOLE W/BETAMETHASONE,247
1735,CLOTTRIMAZOLE CREAM 1% 45G,278
1736,CLOZAPINE 100MG TAB,19
1737,CLOZAPINE TAB 25MG,7
1738,CLOZAQINE & NORCLOZAPINE,249
1739,CMV ANTIBODY,341
1740,CMV CULTURE,610
1741,CMV CULTURE-CONVENL TUBE,970
1742,COAGULATION FACTOR VIIA 5000MCG,15
1743,"COCAINE TOPICAL SOLN, 10%",423
1744,"COCAINE TOPICAL SOLN, 4% (4ML)","1,264"
1745,"COCAINE TOPICAL SOLN, 4%(10ML)","3,159"
1746,CODE BOX - DRUGS,"1,966"
1747,CODE SUPPLIES,586
1748,"CODEINE SULFATE TAB, 15MG",3
1749,COGNITIVE ACTIVITIES O.T.,127
1750,"COIL DETACHER,V-GRIP,MICROVENTION","1,420"
1751,COIL EMBOL CASHMERE FRAME/FILL,"8,982"
1752,COIL ENDOVASCULAR AXIUM HELICAL(E,"5,156"
1753,COIL SYSTEM DETACHABLE AXIUM EV3,"6,535"
1754,"COIL,HELICA,REGULAR,MICROVENTION","11,300"
1755,"COIL,HELICA,SOFT,MICROVENTION","6,467"
1756,"COIL,MICROPLEX,COMPLEX,MICROVENTI","9,182"
1757,"COILS,SOFT SR DETACHABLE,BS","7,445"
1758,"COILS,STANDARD DETACHABLE,BS","12,998"
1759,"COILS,STANDARD SR DETACHABLE,BS","11,975"
1760,"COILS,ULTRASOFT,DETACHABLE,BS","8,741"
1761,"COL.CHROMOTOGR.QUAL/QUAN,EA.SPEC.",85
1762,"COL.STOMA-DIAG.W/,W/O WASH/BRUSH","4,208"
1763,COL.STOMA-SNARE REMOV-TUM/POL/LES,"8,074"
1764,"COL.STOMA-W/BIOPSY,SINGLE/MULTPLE","6,276"
1765,"COL.STOMA-W/CONTROL BLEEDING,ANY","8,968"
1766,COL-BENEMID TAB,5
1767,COLCHICINE 0.6MG TAB,38
1768,COLD AGGLUTININ,193
1769,"COLISTIMETHATE INJ,150MG",190
1770,"COLLAGEN CROSS LINKS, ANY METHOD",829
1771,COLLAGEN VASCGRFT CAR 7X45AG1015,"7,408"
1772,COLLAGENASE OINT 30G,"1,535"
1773,COLLAR CERV MIAMI J MED MJR400,272
1774,COLLAR CERV MIAMI J SM MJR300,272
1775,COLLAR CERV MIAMI J STOUT MJR200L,272
1776,COLLAR CERV MIAMIJ LRG MJR500,229
1777,COLLAR CERV MIAMIJ SZ6-12 MJRP3,222
1778,COLLAR CERVMIAMI SUP SHRT MJR200S,272
1779,COLLAR MIAMI J W/PADS,246
1780,COLLAR NECLOC,82
1781,COLLAR PHILADELPHIA,67
1782,COLLAR VISTA W PAD 984000,344
1783,COLON W/BALLOON DILATION,"6,723"
1784,COLON.STOMA-W/MUCOSAL RESECTION,"6,325"
1785,COLON.STOMA-W/SUBMUCOSAL INJ(S),"6,200"
1786,COLON-CHROMOSCOPY (UNLISTED),"8,731"
1787,"COLON-DIAGNOST.,W/,W/O WASH/BRUSH","7,800"
1788,COLON-ENDOSC.MUCOSAL RESECTION,"7,140"
1789,COLON-HOT BIOPSY REM.-TUM/POL/LES,"7,262"
1790,COLONOSC.W/ABLATION-INCL.DIL/GDWR,"7,196"
1791,COLON-SNARE REMOVAL-TUM/POL/LES,"8,074"
1792,COLON-W/ FOREIGN BODY REMOVAL,"9,389"
1793,COLON-W/BAND LIGATION(S),"7,800"
1794,"COLON-W/BIOPSY, SINGLE/MULTPLE","6,886"
1795,"COLON-W/CONTROL BLEEDING,ANY METH","9,016"
1796,COLON-W/DECOMPRESS (INCL.TUBE),"6,840"
1797,"COLON-W/SUBMUCOSAL INJ(S),ANY","6,192"
1798,COLYTE FLAVORED PWD (PINEAPPLE),111
1799,COM FEM JOURN SZ3 LFT 74021163,"9,925"
1800,COMBIVENT INHALER (14.7GM),"2,132"
1801,COMBIVIR 150MG/300MG TAB,104
1802,COMP ACET AUG 54X15 00489405415,"14,319"
1803,COMP DISTAL FEM XX-SM RT REPLCMNT,"46,297"
1804,COMP FEM #3RT CEM TRIATH 5510F302,"7,997"
1805,COMP FEM ATTUNE LFT SZ8 150440108,"38,370"
1806,COMP FEM ATTUNE REV SZ4 150440104,"29,301"
1807,COMP FEM ATTUNE REV SZ5 150440205,"38,370"
1808,COMP FEM ATTUNE REV SZ6 150440106,"38,370"
1809,COMP FEM ATTUNE REV SZ6 150440206,"38,370"
1810,COMP FEM ATTUNE REV SZ7 150440107,"38,370"
1811,COMP FEM ATTUNE RT SZ3 150440203,"38,370"
1812,COMP FEM ATTUNE SZ1 LFT 150410101,"7,006"
1813,COMP FEM ATTUNE SZ1 RT 150410201,"7,006"
1814,COMP FEM ATTUNE SZ2 150410202,"7,006"
1815,COMP FEM ATTUNE SZ3 150410203,"7,475"
1816,COMP FEM ATTUNE SZ3 LFT 150410103,"7,475"
1817,COMP FEM ATTUNE SZ3N 150410123,"7,475"
1818,COMP FEM ATTUNE SZ4 150410104,"7,475"
1819,COMP FEM ATTUNE SZ4 150410204,"7,475"
1820,COMP FEM ATTUNE SZ4N 150410124,"7,475"
1821,COMP FEM ATTUNE SZ4N RT 150410224,"7,475"
1822,COMP FEM ATTUNE SZ5 150410205,"7,475"
1823,COMP FEM ATTUNE SZ5 LFT 150410105,"7,475"
1824,COMP FEM ATTUNE SZ5N NAR150410125,"7,475"
1825,COMP FEM ATTUNE SZ5N RT 150410225,"7,006"
1826,COMP FEM ATTUNE SZ6 LFT 154010106,"7,475"
1827,COMP FEM ATTUNE SZ6 RT 150410206,"7,006"
1828,COMP FEM ATTUNE SZ6N LFT150410126,"7,475"
1829,COMP FEM ATTUNE SZ6N RT150410226,"7,475"
1830,COMP FEM ATTUNE SZ7 150410107,"7,475"
1831,COMP FEM ATTUNE SZ7 RT 150410207,"7,475"
1832,COMP FEM ATTUNE SZ8 150410108,"7,006"
1833,COMP FEM ATTUNE SZ8 RT 150410208,"7,006"
1834,COMP FEM ATTUNE SZ9 150410109,"7,006"
1835,COMP FEM ATTUNE SZ9 RT 150410209,"7,006"
1836,COMP FEM ATTUNEREV SZ5 150440105,"38,370"
1837,COMP FEM AUG PFC SZ 1.5 4 960800,"3,250"
1838,COMP FEM AUG SGMA SZ3 960872,"4,017"
1839,COMP FEM AUG SIG 8MM SZ 4 960888,"4,157"
1840,COMP FEM AUG SIG SZ4 960883,"4,157"
1841,COMP FEM AUG SIGMA SZ2.5 960851,"3,900"
1842,COMP FEM AUG SIGMA SZ3 960861,"4,158"
1843,COMP FEM CEMTLSSPS SZ3 RT5516F302,"7,774"
1844,COMP FEM CEMTLSSPSSZ6 LFT5516F601,"7,774"
1845,COMP FEM CEMTLSSPSZ5 LFT5516F501,"7,774"
1846,COMP FEM CRF REV SZ3 150440103,"38,370"
1847,COMP FEM CRF REV SZ4 150440204,"38,370"
1848,COMP FEM CRF REV SZ7 RT 150440207,"38,370"
1849,COMP FEM GMRS SMALL 64952010,"49,042"
1850,COMP FEM IBAL SZ4 RT AR501UFRD,"17,514"
1851,COMP FEM IBAL SZ5 RT AR501VFRE,"10,946"
1852,COMP FEM IBAL UKA SZ2 AR501UFLB,"10,946"
1853,COMP FEM IBAL UKA SZ3 AR501UFLC,"17,514"
1854,COMP FEM IBAL UKA SZ3 AR501UFRC,"17,514"
1855,COMP FEM IBAL UKA SZ4 AR501UFLD,"10,946"
1856,COMP FEM JOURN SZ1 74022121,"9,925"
1857,COMP FEM JOURN SZ2 LFT 74022122,"9,925"
1858,COMP FEM JOURN SZ3 74021153,"9,925"
1859,COMP FEM JOURN SZ4 RT 74021154,"9,925"
1860,COMP FEM JOURN SZ6 74021156,"9,925"
1861,COMP FEM JOURN SZ8 74022128,"9,925"
1862,COMP FEM JOURN SZ9 74022129,"9,925"
1863,COMP FEM JOURNEY SZ2 74022112,"44,601"
1864,COMP FEM JOURNEY SZ3 74022113,"11,348"
1865,COMP FEM JOURNEY SZ3 74022123,"14,327"
1866,COMP FEM JOURNEY SZ4 LFT 74022124,"11,348"
1867,COMP FEM JOURNEY SZ4 RT 74022114,"11,348"
1868,COMP FEM JOURNEY SZ5 74022115,"11,348"
1869,COMP FEM JOURNEY SZ5 LFT 74022125,"11,348"
1870,COMP FEM JOURNEY SZ6 LFT 74022126,"14,327"
1871,COMP FEM JOURNEY SZ6 RT 74022116,"11,348"
1872,COMP FEM JOURNEY SZ7 74022127,"11,348"
1873,COMP FEM JOURNEY SZ7 RT 74021157,"9,925"
1874,COMP FEM JOURNEY SZ7 RT 74022117,"11,348"
1875,COMP FEM JOURNEY SZ8 RT 74022118,"11,348"
1876,COMP FEM LEG CONST SZ7 71426007,"19,265"
1877,COMP FEM LEGION SZ4 LFT 71421374,"51,031"
1878,COMP FEM MAKO RESTOR SZ5 180505,"10,597"
1879,COMP FEM MAKO RESTOR SZ5 180515,"10,597"
1880,COMP FEM MAKO SZ6 180506,"10,597"
1881,COMP FEM MAKORESTOR LM SZ3 180503,"10,597"
1882,COMP FEM MAKORESTOR RM SZ3 180513,"10,597"
1883,COMP FEM OSS 3CM LFT 161006,"33,989"
1884,COMP FEM OSS 7CM 150457,"29,978"
1885,COMP FEM OSS BUSHING SET 161034,"2,183"
1886,COMP FEM OSS RT 3CM 151805,"62,525"
1887,COMP FEM OXFORD MED PART 161469,"15,422"
1888,COMP FEM PATELLA MAKO SZ5 180405,"10,597"
1889,COMP FEM REDAPT SZ18 71354743,"29,774"
1890,COMP FEM REST MAKO SZ4 180516,"10,597"
1891,COMP FEM RESTORIS MAKO SZ2 180412,"10,597"
1892,COMP FEM RESTORIS MAKO SZ4 180504,"10,597"
1893,COMP FEM RESTORIS MCK SZ4 180514,"10,597"
1894,COMP FEM SIGMA SZ1.5 8MM960802,"3,889"
1895,COMP FEM TRIATH 8RT 5510F802,"7,997"
1896,COMP FEM TRIATH SZ 7 LFT 5510F701,"7,997"
1897,COMP FEM TRIATH SZ7 RT 5510F702,"7,997"
1898,COMP FEM TRIATH SZ8 5510F801,"7,997"
1899,COMP FEM XX-SM REPL PIN,"1,531"
1900,COMP GLEN AEQ M30 DWE511,"11,419"
1901,COMP GLEN AEQ PERFORM L40 DWE421,"12,673"
1902,COMP GLEN AEQUALIS M35 DWE412,"12,675"
1903,COMP GLENOID 48MM 113642026,"9,783"
1904,COMP GLENOID AEQ CORILOC DWE411,"11,419"
1905,COMP GLENOID AEQ L50 DWE422,"12,184"
1906,COMP GLENOID AEQ L60 DWE423,"11,419"
1907,COMP GLENOID AEQ S35 DWE402,"12,672"
1908,COMP GLENOID AEQ S40 DWE503,"11,419"
1909,COMP GLENOID AEQUALIS M40 DWE413,"12,672"
1910,COMP GLENOID AEQUALIS S30 SWE401,"12,675"
1911,COMP GLENOID AWQ S40 DWE403,"12,737"
1912,COMP HEAD 41MM UNITRAX 69425041,"1,550"
1913,COMP HEAD 43MM UNITRAX 69425043,"1,720"
1914,COMP HEAD 47MM UNITRAX,"1,720"
1915,COMP OSS RS AXLE 161035,"2,364"
1916,COMP RADIAL STEM 6.5MM 496-S-065,"9,947"
1917,COMP TIB IBAL SZ3 AR501TTRC,"10,508"
1918,COMP TIB IBAL SZ4 RT AR501TTRD,"6,568"
1919,COMP TIB IBAL UKA SZ1 AR501TTLA,"6,568"
1920,COMP TIB IBAL UKA SZ3 AR501TTLC,"6,568"
1921,COMP TIB IBAL UKART SZ6 AR501TTRF,"6,568"
1922,COMP TIB NEXGEN SZ3 00599602317,"6,655"
1923,COMP TIB SZ 4 (5980-37-02),"6,609"
1924,COMP TIB SZ3 TRAY REV 129435130,"19,201"
1925,COMP TIB TRAY IBAL SZ2 AR501TTLB,"6,568"
1926,COMP TIB TRIATH 16MM SZ5 5535A516,"6,763"
1927,COMP TIB TRIATH SZ4 5535A416,"6,763"
1928,"COMPAT TEST ANTIGLOBULIN, EACH",89
1929,"COMPATABILITY TEST, IMMED SPIN",223
1930,COMPLEMENT C3,280
1931,COMPLEMENT C4,280
1932,COMPLX REPR-EYE/NS/EAR EA ADD 5CM,644
1933,COMPON CEM TRIATH CR FEM 5510F401,"7,997"
1934,COMPONENT #1 RIGHT TRIATHLON,"7,997"
1935,COMPONENT #1 RT TRIATHLON,"7,997"
1936,COMPONENT #1 TRIATHLON,"7,997"
1937,COMPONENT #2 TRIATHLON FEMORAL,"7,997"
1938,COMPONENT #3 TRIATHLON FEMORAL,"7,997"
1939,COMPONENT #6 LEFT TRIATHLON FEM,"7,997"
1940,COMPONENT #6 TRIATHLON FEMORAL,"7,997"
1941,COMPONENT ANTHOLOGY FEMORAL SZ8,"13,153"
1942,COMPONENT ANTHOLOGY SZ 7 71357107,"13,153"
1943,"COMPONENT ARTICULAR 12MM SZ C,D","11,216"
1944,COMPONENT FEM #4 RT TRIATH PS,"7,997"
1945,COMPONENT FEM 4RT CR 5510F402,"7,997"
1946,COMPONENT FEM AUG SZ3 12MM 960870,"4,158"
1947,COMPONENT FEM LEGACY SIZE F LEFT,"12,896"
1948,COMPONENT FEM LEGION SZ8 71421178,"31,006"
1949,COMPONENT FEM NEXSZ2RT00592601202,"37,063"
1950,COMPONENT FEM P.S TRIATH #7 RIGHT,"7,997"
1951,COMPONENT FEM SIGMA SZ1.5 960085,"24,297"
1952,COMPONENT FEM SZ1 LFT TS 5512F101,"35,421"
1953,COMPONENT FEM TRIATH 5010F301,"7,997"
1954,COMPONENT FEM TRIATH SZ6 5510F601,"7,997"
1955,COMPONENT FEM TRIATH SZ6 5510F602,"7,997"
1956,COMPONENT FEMORAL #2 LEFT CEMENTE,"7,997"
1957,COMPONENT FEMORAL #2 RIGHT CEMENT,"7,997"
1958,COMPONENT FEMORAL #2 RT -TRIATH,"7,997"
1959,COMPONENT FEMORAL #4 TRIATH PS,"7,997"
1960,COMPONENT FEMORAL #5 TRIATH PS,"7,997"
1961,COMPONENT FEMORAL 65MM/61MM,"26,321"
1962,COMPONENT FEMORAL 66MM/ML 61MM LT,"23,504"
1963,COMPONENT FEMORAL CR #1 LFT CEMEN,"7,997"
1964,COMPONENT FEMORAL GMRS PROXIMAL S,"37,790"
1965,COMPONENT FEMORAL NEXGEN SZ D RT,"33,422"
1966,COMPONENT FEMORAL NEXGEN SZ G LFT,"33,413"
1967,COMPONENT FEMORAL PS #7 LEFT TRI,"7,997"
1968,COMPONENT FEMORAL PS TRIATH #8 RT,"7,997"
1969,COMPONENT FEMORAL SIZE E RIGHT,"33,413"
1970,COMPONENT FEMORAL SIZE F LEFT,"12,247"
1971,COMPONENT FEMORAL STND (71357009),"13,153"
1972,COMPONENT FEMORAL SZ (5512-F-602),"33,734"
1973,COMPONENT FEMORAL SZ 2 LT TS,"33,734"
1974,COMPONENT FEMORAL SZ 3 LT TS,"33,734"
1975,COMPONENT FEMORAL SZ 3 RT TS,"33,734"
1976,COMPONENT FEMORAL SZ 4 LT,"33,734"
1977,COMPONENT FEMORAL SZ 5 LT TS,"33,734"
1978,COMPONENT FEMORAL SZ D LT NEXGET,"12,896"
1979,COMPONENT FEMORAL SZ D RT NEXGEN,"12,896"
1980,COMPONENT FEMORAL SZ E LFT LEG,"12,247"
1981,COMPONENT FEMORAL SZ E LFT NEXGEN,"12,896"
1982,COMPONENT FEMORAL SZ E RIGHT LEGA,"12,247"
1983,COMPONENT FEMORAL SZ E RT NEXGEN,"12,896"
1984,COMPONENT FEMORAL SZ F RT NEXG,"12,896"
1985,COMPONENT FEMORAL SZ G LT,"12,247"
1986,COMPONENT FEMORAL SZ G RT,"12,247"
1987,COMPONENT FEMORAL SZF RT 59641652,"12,247"
1988,COMPONENT FEMORAL TC3 71MM/65MM,"24,297"
1989,COMPONENT FEMTRIATHSZ5 RT5510F502,"7,997"
1990,COMPONENT FEMTRIATHSZ5LFT5510F501,"7,997"
1991,COMPONENT KNEE HINGE ROTATAXLE,"5,080"
1992,COMPONENT LEGION HEMI SZ 3-4.5MM,"7,168"
1993,COMPONENT LEGION HEMI SZ 5-6 8MM,"7,168"
1994,COMPONENT PATELLA MEDIUM AVON,"1,982"
1995,COMPONENT PFJ X-SMALL RIGHT,"22,559"
1996,COMPONENT TC3 63MM/59MM,"24,297"
1997,COMPONENT TIB ROTATING XS- XL MRH,"14,265"
1998,COMPONENT TIBIAL LEGIONHEMI SZ3-4,"7,168"
1999,COMPONENT TIBIAL STEMMED SZ 3,"6,609"
2000,COMPONENT TIBIAL STEMMED SZ3,"14,632"
2001,COMPONENT TIBIAL SZ 6 NEXGEN,"6,609"
2002,COMPONENT TOTAL STAB FEM 5512F502,"33,734"
2003,COMPONENT TRIATH #5 FEM OS,"7,997"
2004,COMPONENT TRIATH PS FEM 5515F801,"7,997"
2005,COMPONENTGLENOID40MMPOLY113640026,"9,783"
2006,COMPREHEN METABOLIC PANEL,224
2007,COND NRV NEUROFLEX2.5X2.5CNCF2525,"7,435"
2008,CONE BODY 19MM STD 62761019,"23,000"
2009,CONE BODY 21MM,"23,000"
2010,CONE BODY 23MM STD,"23,000"
2011,CONE BODY 23MM+10,"23,000"
2012,CONE BODY 25MM STD 62761025,"23,000"
2013,CONE BODY 27MM +10 (6276-1-127),"23,000"
2014,CONE BODY RESTOR 31MM HP 62761131,"20,102"
2015,CONE FEM ARCOS 50MM SZA 11301300,"34,152"
2016,CONE FEM ARCOS 60MM SZB 11301302,"34,152"
2017,CONE FEM ARCOS SZA 60 11301311,"39,990"
2018,CONE FEM ARCOS SZC 60MM 11301303,"34,152"
2019,CONE FEM LEGION 18MM LFT 71935400,"19,265"
2020,CONE FEM LEGION 20MM RT71935408,"19,265"
2021,CONE FEM LEGION 20MMLFT 71935401,"19,265"
2022,CONE FEM LEGION ID22L 71935402,"19,265"
2023,CONE FEM LEGION ID22R 71935409,"19,265"
2024,CONE FEM SZD 60MM 11301314,"34,152"
2025,CONE TIB LEGION 18 SHRT 71935386,"19,265"
2026,CONE TIB LEGION ID22SHORT71935388,"19,265"
2027,CONE TIB LEGION ID24 71935389,"19,265"
2028,CONE TIB LEGION ID26 71935390,"19,265"
2029,CONE TIBIAL LEGION ID18 71935393,"19,265"
2030,CONFORMER OCULAR MEDPOR 9779,340
2031,CONN CROSS REFORM 47-67 59CC0047,"6,696"
2032,CONN LEGACY 15MM CROSSLINK8110715,"8,389"
2033,CONN OMEGA VARIAC SYST 1004930,"1,226"
2034,CONN SPINAL L 13MM 7756068,"3,314"
2035,CONN SPINAL TSRH3DX MED 8351521,"7,054"
2036,CONN STREAMLINE OCT 26OFFSETCONNS,"3,707"
2037,CONN VAR 5.5-6.35X5.5 179774555,"11,087"
2038,CONN XIA 10D ROD TO ROD 03820136,"4,641"
2039,CONN YSHAPE ACCUFLO 3W 821521,"1,224"
2040,CONNECT AXOGUARDNERVE10X40 AG1040,"11,710"
2041,CONNECTOR 5.5 AXIAL 779115555,"8,379"
2042,CONNECTOR 90* OFFSET,"5,934"
2043,CONNECTOR OASYS 12MM 48551081,"3,777"
2044,CONNECTOR OFFSET 3.2TO3.5 7750443,"4,748"
2045,CONNECTOR SMALL TSRH-3D RP,"5,606"
2046,CONNECTOR SPIN TSRH 3DX SM8351520,"6,536"
2047,CONNECTOR SPINAL 10MM 7756067,"3,314"
2048,CONNECTOR TSRH 3DX 8351523,"7,706"
2049,CONNECTOR TSRH XLRG 8351522,"6,608"
2050,CONNECTOR VELENCIA LRG 9164256,"5,949"
2051,CONNECTOR VELENCIA52-76XL 9165276,"5,949"
2052,CONNECTOR XIA 35MM LONG 03820131,"4,641"
2053,CONNECTOR XIA ILIOSTOP/SD48235011,"6,154"
2054,CONNECTOR XIACROSSLINK30 48236030,"6,714"
2055,CONTRAST VISIPAQUE 320MG V564,432
2056,CONTROL NASAL HEMORRHAGE ANY METH,"1,068"
2057,CONTROL OF NOSEBLEED-ANTERIOR,"1,070"
2058,CONTROL OF NOSEBLEED-POSTERIOR,"1,011"
2059,CONTROL THROAT BLEEDING,954
2060,COOMBS ANTIBODY DIRECT,144
2061,"COOMBS ANTIBODY, INDIR",129
2062,"COOMBS, C3",144
2063,"COOMBS, IGG",144
2064,COORDINATION & BALANCE P.T.,175
2065,COPPER SERUM,289
2066,COR KNOT QCK LOAD 030850,258
2067,CORKSCREW 4.5MM BIO AR8927BC,"1,897"
2068,CORKSCREW BIOC 5.5MM AR1927BCF3,"1,958"
2069,CORONARY ART/GRFT ANGIO S&I,"20,800"
2070,CORONARY ARTERY ANGIO S&I,"17,954"
2071,CORTISOL SERUM,384
2072,CORTISPORIN CREAM 7.5G,659
2073,CORTISPORIN OINT (15G),902
2074,CORTISPORIN OTIC SOLN (10ML),174
2075,CORTISPORIN OTIC SUSP 10ML,174
2076,"COSYNTROPIN INJ, 0.25MG",545
2077,COUNTERSINK 3.5/4 AR895003,876
2078,"COUNTERSINK 4.5,6.5 00480904500","1,471"
2079,COUNTERSINK CANN 2.8 DSDS1028,952
2080,COUNTERSINK FOR2.5SCREWP209152500,"1,292"
2081,COUNTERSINK FOR3.5SCREWP209153500,"1,293"
2082,COUNTERSINKFOR2.0SCREWP209152000,"1,292"
2083,COUP HOFF3 5/8/11RODTROD49221010,"2,772"
2084,COUP MICROVAS ANAST 3.0 GEM2754FC,"5,798"
2085,COUPL HOFF3 5/8/11PINTROD49221020,"2,772"
2086,COUPLER MICROVASC 2.5MM GEM2753,967
2087,COUPLER MICROVASC 2MM GEM2752,"2,008"
2088,COUPLER MICROVASC 2MM GEN2752FC,"5,798"
2089,COUPLER MICROVASCULAR2.5GEM2753/L,"2,020"
2090,COUPLER MICROVASCULAR3MMGEM2754/L,"2,020"
2091,COUPLER OFFSET LEN 2MM,"7,291"
2092,COUPLER OFFSET LGN 4MM,"7,291"
2093,COUPLER OFFSET LGN 6MM,"7,291"
2094,COUPLING HOFF ROD TO ROD 49601010,"2,336"
2095,COVER BURR HOLE 17MM,"1,219"
2096,COVER BURR HOLE 24MM,"1,302"
2097,COVER TIP SZ1 DAVINCI DISP 400180,130
2098,COXSACKIE A VIRUS AB,294
2099,COXSACKIE B VIRUS AB,294
2100,CPAP/BIPAP THERAPY,702
2101,C-PEPTIDE,489
2102,CPK TOTAL,154
2103,"CPK, ISO ELECTROPHORESIS",278
2104,C-REACTIVE PROTEIN,122
2105,CREATININE AMNIOTIC FLUID,122
2106,CREATININE OTHER SOURCE,122
2107,CREATININE SERUM,119
2108,CRISIS STABILIZATION,"1,488"
2109,"CRITICAL CARE, ADD 30 MINUTES","1,845"
2110,"CRITICAL CARE,1ST HR W/MODIFIER25","3,933"
2111,CROSS CONNECTOR 44MM XIA 48236035,"5,429"
2112,CROSS LINK A 5,"11,098"
2113,CROSSLINK #6 SFX 189401406,"10,705"
2114,CROSSLINK 19MM LP,"8,856"
2115,CROSSLINK 30MM,"10,270"
2116,CROSSLINK 8115539,"10,270"
2117,CROSSLINK LARGE ROD 7752537,"7,605"
2118,CROSSLINK LOW PROFILE 45-58MM,"10,270"
2119,CROSSLINK LPS FLEX SZ CD 12MM ART,"5,117"
2120,CROSSLINK LPS FLEX SZ CD 59623014,"5,117"
2121,CROSSLINK LPS FLEX SZ EF 12MM,"5,117"
2122,CROSSLINK LPS FLEX SZ EF 14MM ART,"4,751"
2123,CROSSLINK LPS FLEX SZ GH 10MM,"5,117"
2124,CROSSLINK PROLONG SIZE GH 10MM,"5,117"
2125,CROSSLINK PROLONG SZ EF 10MM,"5,117"
2126,CROSSLINK SFX A4 189401404,"10,705"
2127,CROSSLINKSTREAMLINEMED26R2RXLINKM,"5,400"
2128,"CROSSMATCH(ELECTRONIC), EACH UNIT",188
2129,"CRUTCHES, PAIR, ALL SIZES",58
2130,CRYO-CUFF SHOULDER NO COOLER12A01,262
2131,CRYO-CUFF SHOULDER XLRG 12AXL01,262
2132,CRYOGLOBULIN QUALITATIVE,142
2133,CRYOPRECIPITATE,237
2134,CRYOPRECIPITATE IGA,220
2135,CRYOPRECIPITATE IGG,220
2136,CRYPTOCOCCAL ANTIGEN,240
2137,CRYPTOSPORIDIUM,125
2138,"CRYPTOSPORIDIUM, E/A",888
2139,CS LEADS,"25,564"
2140,C-SECTION DELIVERY,"6,406"
2141,CSF EBV AB TO EARLY AB-RE,308
2142,CSF FOR CELL COUNT,129
2143,CSF FOR GLUCOSE,93
2144,CSF FOR PROTEIN,112
2145,CSF IMMUNOGLOBULIN G(IGG),220
2146,CT ABD AND PELVIS W/CONTRAST,"7,676"
2147,CT ABD AND PELVIS W/O AND W/CONTR,"9,448"
2148,CT ABD AND PELVIS W/O CONTRAST,"6,358"
2149,CT ABDOMEN W & W/O CONTRA,"6,299"
2150,CT ABDOMEN W/CONTRAST,"5,116"
2151,CT ABDOMEN W/O CONTRAST,"4,239"
2152,CT ABDOMINAL AORTA,"2,080"
2153,CT ANGIO ABD&PELV W/O&W/DYE,"7,658"
2154,CT ANGIO HRT W/3D IMAGE,"2,364"
2155,CT CERV SPINE W/CONTRAST,"5,242"
2156,CT CERV SPINE W/O CONTRAS,"4,239"
2157,CT CERV SPINE W/O CONTRAST,"4,239"
2158,CT CERVICAL SPINE W/O & W/CONTR.,"6,055"
2159,CT CHEST (THORAX) W/ CONTRAST,"5,279"
2160,CT CHEST (THORAX) W/O CONTRAST,"4,239"
2161,CT CHEST (THORAX)W/& W/O CONTRAST,"6,545"
2162,CT EXTREM/LOW W/CONTRAST,"4,421"
2163,CT EXTREM/LOW W/O CONTRAST,"3,748"
2164,CT EXTREM/UP W/CONTRAST,"4,427"
2165,CT EXTREM/UP W/O CONTRAST,"3,750"
2166,CT FACIAL BONES W/O CONTRAST,"4,305"
2167,CT HEAD OR BRAIN W&W/O CONTRAST,"5,274"
2168,CT HEAD OR BRAIN W/ CONTRAST,"4,243"
2169,CT HEAD OR BRAIN W/O CONTRAST,"3,432"
2170,CT HRT W/3D IMAGE,"2,364"
2171,"CT HRT W/3D IMAGE, CONGEN","2,364"
2172,CT INNER EAR W CONTRAST,"4,294"
2173,CT LIMITED OR LOCALIZED FOLLOW UP,"1,768"
2174,CT LUMB SPINE W/CONTRAST,"5,251"
2175,CT LUMB SPINE W/O CONTRAST,"4,239"
2176,CT MAXILLOFACIAL W&W/O CONTRAST,"6,611"
2177,CT MAXILLOFACIAL W/ CONTRAST,"5,333"
2178,CT MAXILLOFACIAL W/O CONTRAST,"4,305"
2179,CT NECK W/O & W/CONTR,"5,313"
2180,CT NECK WITH CONTRAST,"4,306"
2181,CT ORBIT/EAR/FOSSA W&W/O CONTRAST,"5,256"
2182,CT ORBIT/EAR/FOSSA W/ CONTRAST,"4,294"
2183,CT ORBIT/EAR/FOSSA W/O CONTRAST,"3,620"
2184,CT PELVIS W/O CONTRAST,"4,239"
2185,CT PELVIS WITH & W/O CONTRAST,"6,252"
2186,CT PELVIS WITH CONTRAST,"5,088"
2187,"CT PERFUSION W/CONTRAST,CBF",918
2188,CT SCAN FOR NEEDLE PLACEMENT,"2,429"
2189,CT SINUS(MAXILLOFACIAL)W/O CONTR.,"4,305"
2190,CT SOFT TISSUE NECK W&W/O CONTR.,"5,313"
2191,CT SOFT TISSUE NECK W/ CONTRAST,"4,306"
2192,CT SOFT TISSUE NECK W/O CONTRAST,"3,625"
2193,CT THOR SPINE W/O CONTRAST,"4,239"
2194,CT THORACIC SPINE W/CONTR,"5,267"
2195,CT THORACIC SPINE W/O & W/CONTR.,"6,024"
2196,CTA ABDOMEN,"6,655"
2197,CTA CHEST,"6,655"
2198,CTA HEAD,"6,655"
2199,CTA LOWER EXTREMITY ,"4,476"
2200,CTA NECK,"6,655"
2201,CTA PELVIS,"6,655"
2202,CTA UPPER EXTREMITY,"3,990"
2203,"CT-ABLATE LIVER TUMOR/S,RADIOFREQ","6,500"
2204,CT-DIAGN.BONE MARROW-BIOPSY & ASPIR.,"3,552"
